"Description","Count"
"full name rosa carolina sandoval correa de kroegersantiago benicio kroegersandoval",3
"full name is yvette perezbrunson",3
"full name is deataidebatoreusalvadorbrito",3
"frocking ceremony will be held in the west wing navy mess",3
"friends joining whsr members for bowling in eeob",3
"french ambassadorfrench secretary of state for trade",3
"former interns coming in to train new interns",3
"for west wing test",3
"for tour",3
"for south grounds departure",3
"for nss holiday party",3
"for michigan governor rick snyder",3
"for entrance at south east gate",3
"for approved west wing tour",3
"for a marine one departure",3
"follow on meeting with rdml bynum in the east wing",3
"flotus video time",3
"flotus attendence",3
"flag delivery",3
"fl gators",3
"first and last name reclear",3
"first and last name flipped",3
"farewell",3
"family will be meeting staff member in eeob first",3
"family waves for the bowling alley",3
"family visit",3
"family to come in before white house tour",3
"family late for holiday activities",3
"family coming in for my nss departure ceremony",3
"family attending departure of potus",3
"family attending command sponsored holiday social",3
"family attendance at nss detailee departure photo",3
"family",3
"face painters for the congressional picnic",3
"exit photo",3
"ew tour must enter through sherman park reclears dob (simmons and young) clear barron",3
"ew tour must enter through sherman park reclear odb",3
"ew tour must enter through sherman park reclear names/dobs",3
"ew tour must enter through sherman park reclear names/dob",3
"ew tour must enter through sherman park reclear name dob",3
"ew tour must enter through sherman park reclear dobs/names",3
"ew tour must enter through sherman park rclrs",3
"ew tour must enter through sherman park new clear (all were born in the phillipines but are canadian citizens)",3
"ew tour must enter through sherman park names and dob reclears",3
"ew tour must enter through sherman park name reclear (name flip flops)",3
"ew tour must enter through sherman park name reclear (name flip flop)",3
"ew tour must enter through sherman park name reclear (hyphenated last names only one last name submitted)",3
"ew tour must enter through sherman park name reclear (first and last names reversed)",3
"ew tour must enter through sherman park name flop",3
"ew tour must enter through sherman park first name reclear",3
"ew tour must enter through sherman park dob/.name",3
"ew tour must enter through sherman park dob reclear dob reclears",3
"ew tour must enter through sherman park dob recealr",3
"ew tour must enter through sherman park dob and namerecleas",3
"ew tour must enter through sherman park clears for tours",3
"ew tour must enter through sherman park clear for tours",3
"event name change per requestor",3
"escorts",3
"escort s. piatekusss",3
"erwin camia will be driving",3
"equipment dropoff",3
"epa policy",3
"eop security briefing/time changed per requestor",3
"eop lease vehicle procurement strategy meeting",3
"entering nw gate",3
"enter at se gate",3
"enlisted board will convene at 1230",3
"employee picking up securid token",3
"employee benefits fair representatives",3
"emergency meeting called today. thank you",3
"emergency clearance",3
"ellie requested date & time change",3
"egg board 38th annual commemorative egg presentation",3
"eeob trick or treat halloween",3
"eeob phase iii",3
"eeob office first;ww tour granted 8:45pm",3
"eeob family visit",3
"eeob auditorium",3
"educ. meeting",3
"east wing/white house tour",3
"east wing walkthru",3
"east wing tour. date/time/location change per requestor",3
"early staff arrivals",3
"earlier appointment expired. here for nps anniversary",3
"due to time shift for the in i am resubmitting my waves request for the adjusted time. thank you very much",3
"due to \eop closesure on 2/17 the meetings is being held today at 3:00",3
"drop by",3
"drivers for the minister-mentor of singapore's motorcade dr*drivers",3
"drivers for congressional members for mentoring event",3
"drivers for a potus meeting, staying on west exec",3
"dr. stebbins just forward the info for the meeting",3
"dr. jackson will present a military award to lt cornejo (whmu staff)",3
"dr will stay on state place",3
"dr waves",3
"dr fordjour haile",3
"dr and protocol officer for the for joint chiefs of staff",3
"dr - driver",3
"dorothy bryson and lawrence were submitted stephens but should have the last name king",3
"doing a work center tour of the white house navy mess",3
"doi employee",3
"dod military aides appointment",3
"dob reclears for everyone",3
"dob reclears for all of them",3
"dob reclears for all guests",3
"dob reclears for all",3
"dob and name reclear",3
"director tour of whca spaces in eeob",3
"director dia",3
"diplomats from the embassy of the united arab emirates",3
"diplomatic coffee with the first lady",3
"dinner with scholars",3
"dinner at white house mess",3
"deval patrick is the governor of massachusetts",3
"detailee sarah tanno will be givinga tour of the eeob thank you!",3
"desio henry",3
"deputy secretary mayorkas military aide",3
"deputy level meeting",3
"depature ceremony situation room",3
"departure phototime changed by requestor",3
"departure photo with ali zaidi (omb)",3
"departure photo for shawn finlen",3
"departure office visit/photo with vpotus",3
"departure family photo",3
"departing from west exec for dr. biden oconus travel",3
"dental appointment",3
"delegation meeting with the vice president",3
"dave groves is awaiting pass",3
"daughters and driver of us senator dodd",3
"date/time/rm change per requestor/ 2nd request timerm change",3
"date chng per g.nelson",3
"date changed per requestor/date and time changes made at the request of m. carroll",3
"date changed per natalie",3
"date change per person to be visited/time change per requestor",3
"date change per lisa jones",3
"date change per e. lyle",3
"date change per bentz",3
"date change made at the request of e. schafeer",3
"date change made at the request of d. robertson",3
"date change made @ the request of l. jones",3
"date change from 11/3/11 to 11/2/11 per lauren dunn. ec 11/1/11 @6:06",3
"date change at the request of the requestor. kdc 3/6@ 14:07 west wing tour",3
"date change at the request of the requestor. kdc 02/02 @11:36",3
"date change",3
"date and time changes made ath the request pass holder",3
"date and time changes made at the request of s. white",3
"date and time changes made at the request of k. miterko",3
"date and time changes made at the request of j. brooks",3
"date and time changed by requestor(doohan)",3
"date and time change per requestor. kdc",3
"date and time change per rebecca grimm",3
"date and time change per nathaniel perkins",3
"date and time change per kelly doohan",3
"date and changed per requestor / 2nd request 3/12 per requestor",3
"date & time changed per rebecca from 4/18 1700 to 4/19 1000",3
"date & time changed per dominique",3
"date & time change per req",3
"date & time adjustment per d. mielke",3
"dan brundage and his parents will be here to take a potus departure photo",3
"cyber bowling",3
"culinary specialist training in coordination with ms angella reid director of the executive residence and chief usher the white house20269",3
"cui tiankai is the chinese ambassador to the us",3
"credit card bill signing",3
"costa is us congressman",3
"cortney costanzo",3
"correction to spelling of names: u51096",3
"correction to spelling of names",3
"correction to name",3
"correcting the time for u# 18456",3
"corrected waves for u00272",3
"contractors without access to eop",3
"contractor meeting in project management office",3
"contracting meeting",3
"contact maj charlie grover with issues",3
"connecticut governor dannel malloy meeting with david agnew in ww",3
"congressman sandy levin entering with 2 staff members. request to park on state place has been submitted",3
"congressman sandy levin",3
"confirmed for wh navy mess",3
"confirmed for truman bowling",3
"confirmed for secretary of war room 224226",3
"confirmed 8am",3
"conference call with governors",3
"conducting inspection of eeob",3
"commerce staff",3
"coming to pick up hazardous waste",3
"coming in nw gate",3
"coming in for mtg in the ward rm",3
"coming in for mtg in sit rm hosted by vivek kundra",3
"coming in for meeting with vp and victoria espinel",3
